,id,conference,division,city,name,full_name,abbreviation
0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
1,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
2,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
3,4,East,Southeast,Charlotte,Hornets,Charlotte Hornets,CHA
4,5,East,Central,Chicago,Bulls,Chicago Bulls,CHI
5,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
6,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
7,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
8,9,East,Central,Detroit,Pistons,Detroit Pistons,DET
9,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
10,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
11,12,East,Central,Indiana,Pacers,Indiana Pacers,IND
12,13,West,Pacific,LA,Clippers,LA Clippers,LAC
13,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
14,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
15,16,East,Southeast,Miami,Heat,Miami Heat,MIA
16,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
17,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
18,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
19,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
20,21,West,Northwest,Oklahoma City,Thunder,Oklahoma City Thunder,OKC
21,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
22,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
23,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
24,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
25,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
26,27,West,Southwest,San Antonio,Spurs,San Antonio Spurs,SAS
27,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
28,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
29,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
